371371,Marash Kumbulla
485584,A. Salah-Eddine
813137,Niccolò Pisilli
281769,Mario Hermoso
199248,Bryan Cristante
94529,El Shaarawy
964580,Wesley
641537,Tommaso Baldanzi
,Inglaterra
,Liverpool
502676,G. Mamardashvili
730861,Milos Kerkez
139208,Virgil van Dijk
484547,Jeremie Frimpong
357119,Ibrahima Konaté
434675,Cody Gakpo
478573,Ryan Gravenberch
451276,D. Szoboszlai
598577,Florian Wirtz
709726,Hugo Ekitiké
534033,Mac Allister
105470,Alisson
338070,K. Tsimikas
341092,Federico Chiesa
234803,Andrew Robertson
565822,Harvey Elliott
146310,Wataru Endo
256178,Joe Gomez
148455,Mohamed Salah
1045123,Trey Nyoni
719673,Ben Doak
624258,Conor Bradley
633652,Calvin Ramsay
864799,Stefan Bajcetic
433188,Curtis Jones
,Arsenal
262749,David Raya
420243,Jurrien Timber
435338,Gabriel
335721,Ben White
495666,William Saliba
309400,Kai Havertz
357662,Declan Rice
316264,Martin Odegaard
655488,G. Martinelli
433177,Bukayo Saka
325443,Viktor Gyökeres
192279,Kepa
338424,Mikel Merino
340325,Reiss Nelson
890719,Ethan Nwaneri
890721,M. Lewis-Skelly
144028,Leandro Trossard
363205,Gabriel Jesus
502821,R. Calafiori
503987,Noni Madueke
203853,O. Zinchenko
423440,Zubimendi
425918,Jakub Kiwior
537598,Fábio Vieira
646750,Mosquera
,Chelsea
403151,Robert Sánchez
284857,Marc Cucurella
904802,Jorrel Hato
620322,Malo Gusto
614258,Levi Colwill
670882,Jamie Gittens
687626,Moisés Caicedo
1056993,Estêvão
568177,Cole Palmer
776890,Nicolas Jackson
648195,Enzo Fernández
585323,Filip Jørgensen
344381,C. Nkunku
670717,Dário Essugo
346314,Trevoh Chalobah
463603,Benoît Badiashile
472423,Reece James
475411,Wesley Fofana
258878,Tosin Adarabioyo
805714,Renato Veiga
610849,Liam Delap
626724,João Pedro
743600,Andrey Santos
628451,Roméo Lavia
487465,Pedro Neto
,Manchester City
238223,Ederson
475959,Josko Gvardiol
763079,A. Khusanov
701057,Rico Lewis
258004,Rúben Dias
486049,Jérémy Doku
357565,Rodri
406635,Phil Foden
445939,Omar Marmoush
418560,Erling Haaland
460939,Tijjani Reijnders
566799,James Trafford
661207,Oscar Bobb
241641,Bernardo Silva
994536,Claudio Echeverri
466805,Nico González
578391,Rayan Aït-Nouri
51471,Mateo Kovacic
601883,Matheus Nunes
607223,Rayan Cherki
284730,Manuel Akanji
177476,Nathan Aké
186590,John Stones
743591,Savinho
203460,Jack Grealish
,Manchester United
234509,André Onana
480762,Lisandro Martínez
326031,Matthijs de Ligt
923831,Leny Yoro
476701,Manuel Ugarte
820374,Kobbie Mainoo
240306,Bruno Fernandes
536835,Amad
517894,Matheus Cunha
