450,Stadion Ticha
453,Gradski
454,Bonchuk
458,Georgi Asparuhov
460,Hristo Botev
461,Lokomotiv
462,Lokomotiv
467,Minyor
471,Ogosta
472,Gradski
473,Hristo Botev
477,Aleksandar Shalamanov
478,Pleven Stadium
480,Spartak
481,Chavdar Tsvetkov
490,York Lions Stadium
491,Hellenic Community Centre
494,Stade Saputo
503,BC Place
504,Centennial Stadium
505,Regional Calvo y Bascuñán
506,Bicentenario de La Florida
507,El Cobre
508,Nelson Oyarzún
509,Fiscal Tucapel Bustamante Lastra
510,Zorros del Desierto
511,Monumental David Arellano
512,Francisco Sánchez Rumoroso
513,Municipal Joaquín Muñoz García
515,Luis Valenzuela Hermosilla
516,La Portada
517,Municipal Luis Navarro Avilés
518,Germán Becker
519,Sausalito
521,Huachipato-CAP Acero
523,Tierra de Campeones
524,Municipal Jorge Silva Valenzuela
525,Municipal de La Cisterna
526,Carlos Dittborn
527,Estadio Regional de Chinquihue
528,Lucio Fariña Fernández
529,Municipal de La Pintana
530,Lucio Fariña Fernández
531,San Carlos de Apoquindo
532,Nacional Julio Martínez Prádanos
533,Ester Roa Rebolledo
534,Santa Laura
535,Nicolás Chahuán Nazar
536,Municipal Javier Muñoz Delgado
538,Workers Stadium
541,Changchun Sports Center Stadium
544,Phoenix Hill Sports Park Football Stadium
545,Yuxi Plateau Sports Center Stadium
547,Guiyang Olympic Sports Center
552,Shenyang Sports Centre Stadium
560,Shanghai Stadium
568,Yanji National Fitness Center Stadium
570,Estadio Olímpico Pascual Guerrero
571,Estadio Guillermo Plazas Alcid
572,Estadio Olímpico Jaime Morón León
573,Estadio Metropolitano Roberto Meléndez
574,Estadio Atanasio Girardot
575,Estadio de la Independencia
576,Estadio Metropolitano de Techo
577,Estadio Nemesio Camacho (El Campín)
579,Estadio Centenario de Armenia
580,Estadio Manuel Murillo Toro
581,Estadio Deportivo Cali
583,Estadio Hernán Ramírez Villegas
584,Estadio Polideportivo Sur
585,Estadio Atanasio Girardot
586,Estadio Nemesio Camacho (El Campín)
587,Estadio Palogrande
589,Estadio Municipal de Pérez Zeledón
591,Estadio Carlos Ugalde Álvarez
593,Estadio José Rafael Fello Meza Ivancovich
594,Estadio Carlos Alvarado
595,Estadio Ricardo Saprissa Aymá
596,Estadio Alejandro Morera Soto
597,Estadio Ebal Rodríguez Aguilar
598,Estadio Miguel Lito Pérez
600,Cibalia
601,Sveti Josip Radnik
602,Maksimir
603,Subicevac
604,Stadion Rujevica
607,Poljud
609,Aldo Drosina
611,Kranjceviceva
612,SRC Hrvatskih vitezova
621,Opus Arena
623,SC Rudes
624,Pokraj Jadra
630,Gradski Stadion Ivan Kusek Apas
631,Gradski stadion Andelko Herjavec
632,AEK Arena - Georgios Karapatakis
633,Limassol Arena
636,GSP Stadium
639,Kinotiko Stadio Chlorakas
643,Antonis Papadopoulos
650,Dimotiko Stadio "Tasos Markou"
652,Ammochostos Stadium
653,Stadio Ethnikos Achnas (Dasaki)
658,Makario Stadium
660,Antonis Papadopoulos
663,Kyrenia - Epistrofi
664,Městský fotbalový stadion Srbská
665,Městský fotbalový stadion Miroslava Valenty
666,Stadion Na Litavce
667,Městský stadion
668,Městský stadion - Vitkovice Aréna
670,Ďolíček
672,Stadion FK Viktoria Žižkov
673,Stadion v Kotlině
674,Stadion Juliska
678,Střelnice
679,Lokontrans Arena
680,AGC Aréna Na Stínadlech
681,Stadion v Kollárově ulici
682,Malšovická aréna
684,Stadion FC Dolni Benesov
685,Stadion Frantiska Kloze
686,Andrův stadion
687,Andrův stadion
688,Fortuna Arena
689,Stadion U Nisy
691,epet Arena
692,Stadion Letná
693,Stadion Rudolfa Labaje
694,Doosan Aréna
695,Stadion FK Viktoria Žižkov
696,Stadion v Jiráskově ulici
699,Mestsky Stadion
700,Nordstern Arena Horsens
701,Ceres Park Vejlby
703,Aalborg Portland Park
705,Riisvangen Stadion
706,Gladsaxe Stadion
713,Østerbro Stadion
714,Brabrand IF's Idrætsanlæg
715,Brøndby Stadion
718,Blue Water Arena
721,Monjasa Park
724,Parken
725,MCH Arena
726,Right to Dream Park
727,Roskilde Idrætspark
732,Gentofte Sportspark
734,DS Arena
737,PRO VENTILATION Arena
738,Helsingør Ny Stadion
